,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Album_Name
51,Bob Dylan,"If You See Her, Say Hello - S.I.R. Studio Rehearsals, New York, NY - October 1975",5QLlXEeEJwMbTCqb0TLbUF,0.551,0.33,0,-15.225,1,0.0314,0,0.108,0.804,101.881,176360,4,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
52,Bob Dylan,"Easy and Slow - Seacrest Motel Rehearsals, Falmouth, MA - October 1975",4IWLbLZ6oLvsJIuXBVQamN,0.52,0.0864,7,-17.501,1,0.0409,1.95E-06,0.91,0.227,134.598,323240,3,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
53,Bob Dylan,"A Hard Rain's A-Gonna Fall - Live at Montreal Forum, Montreal, Quebec - December 1975",3P6aVIfUQaEqwfaJV5O3ct,0.336,0.91,9,-8.846,1,0.0841,3.64E-05,0.94,0.812,134.199,312800,4,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
54,Bob Dylan,"It Ain't Me, Babe - Live at Boston Music Hall, Boston, MA - November 21, 1975 - Evening",6vBNL1AbwqrM4lezscrBv0,0.465,0.695,0,-11.455,1,0.0384,6.65E-05,0.952,0.793,141.477,306160,4,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
55,Bob Dylan,"The Lonesome Death of Hattie Carroll - Live at Montreal Forum, Montreal, Quebec - December 1975",4LglcBs3BnKQ2KPf7v3txt,0.391,0.652,0,-11.669,1,0.0786,9.27E-06,0.983,0.866,183.165,317760,3,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
56,Bob Dylan,"I Dreamed I Saw St. Augustine - Live at Montreal Forum, Montreal, Quebec - December 1975",3xHwiV7qeFejcYyKHF92uT,0.61,0.63,0,-11.562,1,0.0395,5.08E-06,0.716,0.622,120.579,177493,4,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
57,Bob Dylan,"Isis - Live at Montreal Forum, Montreal, Quebec - December 1975",5wJJ5xEHviMEdicJ4ZTQ0P,0.433,0.782,2,-10.562,1,0.162,3.38E-05,0.835,0.875,130.646,314453,4,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
58,Bob Dylan,"Romance In Durango - Live at Boston Music Hall, Boston, MA - November 21, 1975 - Afternoon",3sjdNqUZTP5WAJOzuuci0s,0.434,0.516,0,-12.492,1,0.0581,0,0.976,0.747,101.416,276160,4,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
59,Bob Dylan,"Hurricane - Live at Boston Music Hall, Boston, MA - November 21, 1975 - Evening",3tydlYMRrQPki1X97cfvJ5,0.477,0.742,9,-13.244,0,0.155,0,0.689,0.766,148.075,480507,4,The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)
60,Bob Dylan,"Tangled Up in Blue - Take 3, Remake 3",31cHZD4RFmM9NyOWdDXxdR,0.513,0.329,9,-14.701,1,0.0327,2.20E-06,0.221,0.526,83.659,391627,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
61,Bob Dylan,"If You See Her, Say Hello - Take 1",6cLewsHaYRcexjUMJapSdR,0.557,0.288,2,-11.91,1,0.0358,0,0.102,0.185,126.771,237080,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
62,Bob Dylan,Up to Me - Take 1,4TGJgdEPwUcBxO8nzCjR2i,0.487,0.411,4,-11.884,1,0.0554,0,0.169,0.586,101.734,364040,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
63,Bob Dylan,You're Gonna Make Me Lonesome When You Go - Take 5,5gjvf09deC1MWxW7zkjgfh,0.464,0.343,7,-12.324,1,0.0378,0.0127,0.125,0.424,131.051,316280,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
64,Bob Dylan,"Lily, Rosemary and the Jack of Hearts - Take 2",44YGapY6fh3jpwoZC4OUZh,0.545,0.362,4,-11.828,1,0.0508,0,0.0937,0.485,110.701,590280,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
65,Bob Dylan,You're a Big Girl Now - Take 2,5ulUy5wEr3xNP9jyEmHKbI,0.427,0.219,4,-14.286,1,0.0411,2.68E-05,0.111,0.242,146.633,281200,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
66,Bob Dylan,Shelter from the Storm - Take 1,3Rua6P68657IZDABJ28Dr1,0.456,0.396,4,-13.387,1,0.0361,0.000152,0.129,0.74,108.229,361787,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)"
