,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Album_Name
57,The Beatles,Two Of Us - 1969 Glyn Johns Mix,52vxHmMHbZPhCr1xChTfrW,0.704,0.514,7,-14.626,1,0.0368,3.31E-06,0.248,0.753,105.038,209693,4,Let It Be (Super Deluxe)
58,The Beatles,Maggie Mae - 1969 Glyn Johns Mix,0pJzdahCMNQkCi87ffLZxG,0.453,0.452,0,-12.153,1,0.14,0,0.105,0.585,168.087,38467,4,Let It Be (Super Deluxe)
59,The Beatles,Dig It - 1969 Glyn Johns Mix,4yGPoIGOarfL1hI4ruU24U,0.391,0.517,5,-13.318,1,0.0735,2.69E-06,0.424,0.842,155.196,249680,3,Let It Be (Super Deluxe)
60,The Beatles,Come Together - 2019 Mix,6lSxM9BKcEZBSDKl2VODsF,0.536,0.36,9,-10.973,0,0.0408,0.167,0.0996,0.147,164.891,260200,4,Abbey Road (Super Deluxe Edition)
61,The Beatles,Something - 2019 Mix,3S6N0Wbem9KV3DBcYNfXuv,0.416,0.385,0,-9.388,1,0.0279,5.24E-06,0.228,0.458,133.298,182227,4,Abbey Road (Super Deluxe Edition)
62,The Beatles,Maxwell's Silver Hammer - 2019 Mix,0fnY9xlLJCgtBUBX9rNzDJ,0.816,0.386,2,-9.443,1,0.0382,9.31E-05,0.309,0.708,131.099,207973,4,Abbey Road (Super Deluxe Edition)
63,The Beatles,Oh! Darling - 2019 Mix,3UHv8SSIkNUDRBUHJx3Cg6,0.437,0.669,4,-6.524,1,0.0395,0.00395,0.347,0.514,173.67,207147,3,Abbey Road (Super Deluxe Edition)
64,The Beatles,Octopus's Garden - 2019 Mix,3e1w0Wm0sH8nUYPArDkBG3,0.565,0.645,1,-6.194,0,0.0332,0.000625,0.124,0.626,92.253,170800,4,Abbey Road (Super Deluxe Edition)
65,The Beatles,I Want You (She's So Heavy) - 2019 Mix,5h0yfg2KLqjVOKpCUTkBKo,0.326,0.5,9,-8.388,0,0.0315,0.0473,0.0941,0.365,142.872,467360,3,Abbey Road (Super Deluxe Edition)
66,The Beatles,Here Comes The Sun - 2019 Mix,3CPFHaVEHkkH26hAEPgMMp,0.569,0.557,9,-10.208,1,0.0428,0.000228,0.136,0.292,129.101,185707,4,Abbey Road (Super Deluxe Edition)
67,The Beatles,Because - 2019 Mix,4Smnlr2WoaZa4CUs0isAPU,0.178,0.283,2,-11.436,1,0.0298,8.04E-05,0.127,,161.293,165613,4,Abbey Road (Super Deluxe Edition)
68,The Beatles,You Never Give Me Your Money - 2019 Mix,4kXXWWWIu0avePZXX7cBiW,0.33,0.442,0,-12.216,1,0.035,0.0762,0.149,0.326,173.751,242667,3,Abbey Road (Super Deluxe Edition)
69,The Beatles,Sun King - 2019 Mix,0fdK9ykZqy0e3vn7LbluM1,0.406,0.274,2,-15.138,Major,0.0301,0.138,0.258,0.199,149.875,146333,4,Abbey Road (Super Deluxe Edition)
70,The Beatles,Mean Mr Mustard - 2019 Mix,25jKgfxWqISbOF5qjowYDa,0.69,0.674,4,-7.983,1,0.0391,6.59E-06,0.47,0.915,100.497,66467,4,Abbey Road (Super Deluxe Edition)
71,The Beatles,Polythene Pam - 2019 Mix,7BavH3tDEsEDKnntiVTaAu,0.47,0.833,11,-8.017,0,0.0569,0.706,0.133,0.491,166.72,72800,4,Abbey Road (Super Deluxe Edition)
72,The Beatles,She Came In Through The Bathroom Window - 2019 Mix,52omU1KgD4yyRkXx2gDgZj,0.527,0.752,2,-7.806,1,0.0298,4.49E-05,0.329,0.738,80.647,118813,4,Abbey Road (Super Deluxe Edition)
73,The Beatles,Golden Slumbers - 2019 Mix,4FWAzXcVNVIRVA4UQxhvbd,0.395,0.181,0,-11.098,1,0.0284,0.000184,0.16,0.221,80.663,91440,4,Abbey Road (Super Deluxe Edition)
74,The Beatles,Carry That Weight - 2019 Mix,7mBqyUKe8SUUoFBjTiY8Um,0.494,0.558,0,-7.604,1,0.0283,0.000786,0.243,0.625,84.005,96440,4,Abbey Road (Super Deluxe Edition)
75,The Beatles,The End - 2019 Mix,481payDhvwK4SluEdw2o5v,0.624,0.532,2,-9.15,1,0.0606,0.142,0.151,0.125,123.358,141907,1,Abbey Road (Super Deluxe Edition)
76,The Beatles,Her Majesty - 2019 Mix,6jkFjYzaeMG48F8UBSP0eX,0.742,0.182,0,-20.25,1,0.0986,2.90E-06,0.344,0.565,100.526,25120,3,Abbey Road (Super Deluxe Edition)
77,The Beatles,I Want You (She's So Heavy) - Trident Recording Session & Reduction Mix,3Tyb06JlXwzTiuiBI7PACU,0.36,0.383,5,-10.2,1,0.0384,0.00115,0.273,0.373,143.811,419600,3,Abbey Road (Super Deluxe Edition)
78,The Beatles,Goodbye - Home Demo,2cQGln8y7OgSOLxSHkgehd,0.556,0.174,11,-15.047,1,0.0462,0.000681,0.114,0.563,126.695,143707,3,Abbey Road (Super Deluxe Edition)
79,The Beatles,Something - Studio Demo,4w4kzrDRJo9PEJGzh2uK49,0.408,0.187,9,-15.354,1,0.035,0.000575,0.0766,0.243,139.822,217227,4,Abbey Road (Super Deluxe Edition)
80,The Beatles,The Ballad Of John And Yoko - Take 7,7Cuklz7fuYfBvSlo7PcRaL,0.695,0.732,9,-12.57,1,0.0545,0,0.164,0.672,132.918,217653,4,Abbey Road (Super Deluxe Edition)
