,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
12,Miles Davis,Miles Smiles,Orbits,5AO8TeKZeo6ouwNaDn8xVE,0.473,0.509,7,-11.208,1,0.0371,0.0017,0.173,0.652,132.556,275960,4
13,Miles Davis,Bags' Groove (Rudy Van Gelder Remaster),Airegin - RVG Remaster,6KvK5mvFIx4JjfVU0gjl7j,0.574,0.457,5,-10.206,0,0.0331,0.0018,0.373,0.791,119.574,299680,4
14,Miles Davis,Sorcerer,"The Sorcerer (feat. Wayne Shorter, Herbie Hancock, Ron Carter & Tony Williams)",6RWbLrCrv9OwsPgHp7hH0A,0.325,0.62,2,-13.041,0,0.0531,7.31e-05,0.362,0.522,88.828,313613,4
15,Miles Davis Quintet,Steamin' With The Miles Davis Quintet,Salt Peanuts,3N8RYqxZwy3IGACBYzZ4lN,0.489,0.828,4,-7.114,1,0.0759,0.00498,0.124,0.331,91.509,366973,4
16,Miles Davis And Milt Jackson Quintet,Miles Davis And Milt Jackson Quintet/Sextet,Changes,6B0aELa2yqLyeu2ULt8bEq,0.55,0.119,1,-19.372,1,0.0446,0.00694,0.0951,0.416,116.187,430693,4
17,Miles Davis,Blue Moods,Easy Living,3QHeOALQbMukSiCWQrP2b0,0.446,0.0498,7,-16.219,1,0.0358,2.15e-06,0.106,0.12,107.337,303960,4
18,Miles Davis,Blue Haze,Blue Haze,4aGwaTnpdI90cHPfgKV6jw,0.629,0.128,10,-16.038,1,0.0591,0.0,0.0944,0.14,71.179,369760,4
19,Miles Davis,Someday My Prince Will Come,"Old Folks (feat. Hank Mobley, Wynton Kelly, Paul Chambers & Jimmy Cobb)",4mh17mzDplLjImZg1I3ivP,0.519,0.111,2,-14.687,0,0.0444,0.000672,0.0773,0.26,104.033,314160,4
20,Miles Davis,Miles In The Sky (Expanded Edition),Black Comedy,3iC27VT5zft0EU3uibib6y,0.434,0.696,5,-9.296,0,0.0523,0.00393,0.318,0.536,99.023,444627,4
21,Miles Davis,Rubberband,Rubberband of Life (feat. Ledisi),2cKH6blsLnE8oEEmAu34YB,0.721,0.698,1,-5.791,1,0.0677,0.0025,0.502,0.795,90.354,344011,4
22,Miles Davis,Nefertiti (Expanded Edition),Nefertiti,6AanQLrt4GtYXutqNiiQJG,0.396,0.464,1,-10.553,1,0.0315,0.309,0.312,0.129,107.331,470733,4
23,Miles Davis,Filles De Kilimanjaro,Petits Machins (Little Stuff),4ab96AVzqHKjsICyFFEBHi,0.442,0.463,1,-12.92,1,0.0356,0.687,0.339,0.303,120.87,484333,4
24,Miles Davis,Seven Steps To Heaven (Expanded Edition),"So Near, So Far",0CpyNb2RlzO7345kFiwXzg,0.424,0.381,7,-11.471,1,0.042,0.0908,0.122,0.553,83.573,416693,4
25,Miles Davis,Quiet Nights (2022 Remaster),Summer Night,3eN0rzXMRYXmXtBkFOXYdI,0.498,0.0553,10,-16.367,1,0.0378,0.00799,0.266,0.198,113.356,361733,4
26,Miles Davis,Water Babies,Water Babies,6XC0a2dZUjDLGJhG1AilVT,0.491,0.217,0,-14.671,0,0.0323,0.00414,0.325,0.251,99.084,306200,3
27,Miles Davis,The Man With The Horn (2022 Remaster),The Man With the Horn (2022 Remaster),47ULAV7jxxH7xf4qFrIe11,0.559,0.479,11,-8.003,1,0.0307,0.000803,0.0945,0.381,126.414,392487,4
28,Miles Davis,Nefertiti (Expanded Edition),Madness,4AhnRSiNKpHLTPJh7n9l3Q,0.465,0.38,0,-10.507,1,0.0398,3.47e-05,0.214,0.34,133.01,451093,4
29,Miles Davis,Live - Evil,"Sivad - Live at the Cellar Door, Washington, DC - December 1970",17pDYuwdakHhG64f3CJSHX,0.497,0.51,8,-10.525,1,0.075,0.0312,0.332,0.373,111.742,913827,4
30,Miles Davis,Star People,Star People,5T9KEP1FHVfrPEdPKXKMmW,0.482,0.382,3,-13.779,1,0.0502,0.0362,0.25,0.145,138.131,1126440,3
31,Miles Davis,Tutu,Tutu,5nZnAVUt0w7UO8Wma9GabV,0.633,0.416,7,-13.802,0,0.0451,0.594,0.111,0.497,70.72,316667,4
32,Miles Davis,Amandla,Amandla,2Ovs392mQ8DrOdYfgCLXI6,0.668,0.476,0,-13.867,0,0.0427,0.369,0.272,0.512,124.064,321533,4
33,Miles Davis,You're Under Arrest (2022 Remaster),Human Nature (2022 Remaster),25e6EHX8YyC5hsaipxdHCz,0.656,0.32,11,-15.261,0,0.0348,0.0614,0.0765,0.573,91.368,269800,4
34,Miles Davis,Volume 2,Kelo,5M78Uv9dWMW4oP69loBrHq,0.45,0.596,8,-11.934,1,0.0502,0.00625,0.31,0.899,113.909,200373,4
35,Miles Davis,Seven Steps: The Complete Columbia Recordings Of Miles Davis 1963-1964,Joshua,3M398IT8mJzKWUGOmO16GG,0.609,0.409,7,-11.984,1,0.0522,0.00015,0.121,0.5,82.786,324360,4
36,Charlie Parker,The Platinum Collection,My Old Flame,3qyYE0MZUhzwCeOJBXXJfA,0.671,0.054,5,-15.364,0,0.0728,0.856,0.123,0.266,124.861,197602,4
37,Miles Davis,Porgy And Bess,Summertime,25H0Wd1ugPRXGM2LlpjVXM,0.402,0.0675,10,-19.553,0,0.03,0.0,0.0959,0.417,107.599,197427,1
38,Miles Davis,Porgy And Bess,"I Loves You, Porgy (From ""Porgy & Bess"")",4udO0OrgJ1Z4CtL9GiOYw9,0.246,0.0323,5,-21.45,1,0.0405,8.34e-05,0.0775,0.168,125.101,253933,5
39,Miles Davis Quintet,Steamin' With The Miles Davis Quintet,When I Fall In Love,1Ame30MZ6yKnqaWFAch1m7,0.362,0.109,5,-14.462,1,0.033,2.57e-06,0.0767,0.159,66.217,264067,4
40,Miles Davis,'Round About Midnight,"Dear Old Stockholm (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",1d0NjHhCDKCKZIbws021xD,0.588,0.343,9,-11.158,0,0.0696,0.00085,0.161,0.34,80.363,468667,4
41,Miles Davis,'Round About Midnight,"Bye Bye Blackbird (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",3ujbZ2FGIoTQG3v07tmV2D,0.63,0.32,0,-10.566,1,0.0464,3.88e-06,0.0903,0.348,122.517,474627,4
42,Miles Davis,Chronicles - The Complete Prestige Recordings 1951-1956,It Never Entered My Mind,1BEVeS2cXELpJ28ludj5so,0.478,0.0591,8,-19.257,1,0.0367,2.78e-06,0.106,0.118,116.092,321307,4
43,Miles Davis,AURA,White,7yEFRP0S68mIKlEDjCZdPu,0.252,0.0363,7,-21.731,1,0.0483,0.00991,0.0825,0.0331,71.098,363027,3
44,Miles Davis,E.S.P. (2022 Remaster),E.S.P.,61K5CsgNZy69TFzrsFS1XM,0.411,0.608,2,-8.548,0,0.0365,0.0,0.166,0.648,143.257,328427,4
