file_name,composer,editor,ficta_factor,ficta_bins
CRIM_Model_0004.mei,Anonymous,Marco Gurrieri,0.0,low
CRIM_Model_0005.mei,Anonymous,Marco Gurrieri,0.0,low
CRIM_Model_0006.mei,Anonymous,Marco Gurrieri,0.0,low
CRIM_Model_0007.mei,Anonymous,Marco Gurrieri,0.0,low
CRIM_Model_0008.mei,Josquin Des Prés,Marco Gurrieri,0.008482563619227144,low
CRIM_Model_0009.mei,Pierre Cadéac,Marco Gurrieri,0.010282776349614395,low
CRIM_Model_0010.mei,Claudin de Sermisy,Marco Gurrieri,0.01991150442477876,low
CRIM_Model_0011.mei,Claudin de Sermisy,Marco Gurrieri,0.028421052631578948,medium
CRIM_Model_0012.mei,Pierre Sandrin,Marco Gurrieri,0.01812688821752266,low
CRIM_Model_0013.mei,Pierre Passereau,Marco Gurrieri,0.0560625814863103,high
CRIM_Model_0014.mei,Claudin de Sermisy,Marco Gurrieri,0.0745721271393643,high
CRIM_Model_0015.mei,Pierre de Manchicourt,Marco Gurrieri,0.019230769230769232,low
CRIM_Model_0016.mei,Josquin Des Prés,Marco Gurrieri,0.03513174404015056,medium
CRIM_Model_0017.mei,Josquin Des Prés,Marco Gurrieri,0.026578073089700997,medium
CRIM_Model_0018.mei,Josquin Des Prés,Marco Gurrieri,0.03036876355748373,medium
CRIM_Model_0019.mei,Giovanni Pierluigi da Palestrina,Marco Gurrieri,0.012802275960170697,low
CRIM_Model_0020.mei,Roland de Lassus,Marco Gurrieri,0.011990407673860911,low
CRIM_Model_0021.mei,Jean Mouton,Vincent Besson,0.008849557522123894,low
CRIM_Model_0022.mei,Attr. Balbulus Notker,Vincent Besson,0.0,low
CRIM_Model_0023.mei,Loyset Pieton,Vincent Besson,0.038661710037174724,medium
CRIM_Model_0024.mei,Didier Lupi,Vincent Besson,0.031161473087818695,medium
CRIM_Model_0025.mei,Cipriano de Rore,Maxime Popineau,0.002352941176470588,low
CRIM_Model_0026.mei,Guillaume Le Heurteur,María Elena Cuenca Rodriguez,0.005424063116370809,low
CRIM_Model_0027.mei,Cipriano de Rore,Maxime Popineau,0.018518518518518517,low
CRIM_Model_0029.mei,Nicolas Gombert,María Elena Cuenca Rodriguez,0.038834951456310676,medium
CRIM_Model_0030.mei,Claudin de Sermisy,Marie Breillat,0.0,low
CRIM_Model_0031.mei,Lupus Hellinck,David Fiala,0.008758371973209686,low
CRIM_Model_0032.mei,Cristóbal de Morales,María Elena Cuenca Rodriguez,0.05731225296442688,high
CRIM_Model_0033.mei,Pierre Sandrin,Franz Körndle,0.02564102564102564,medium
CRIM_Model_0036.mei,Tomás Luis Victoria,Brian Marble,0.004322766570605188,low
CRIM_Model_0037.mei,Annibale Padovano,Pyrros Bachimas,0.005029337803855826,low
CRIM_Model_0038.mei,Philippe Verdelot,Pyrros Bachimas,0.044524669073405534,medium
CRIM_Model_0039.mei,Jean Courtois,Vincent Besson,0.010050251256281407,low
CRIM_Model_0040.mei,Philippe Verdelot,Vincent Besson,0.008247422680412371,low
CRIM_Model_0041.mei,Jachet de Mantua,Vincent Besson,0.01383399209486166,low
CRIM_Model_0043.mei,Josquin Des Prés,Sabine Cassola,0.027427317608337904,medium
CRIM_Model_0045.mei,Domenico Ferrabosco,Brian Russell,0.007751937984496124,low
CRIM_Model_0046.mei,Cipriano de Rore,Pyrros Bachimas,0.017839444995044598,low
CRIM_Model_0047.mei,Jean Lhertier,Yoav Belinsky,0.0033030553261767133,low
CRIM_Model_0048.mei,Giovanni Pierluigi da Palestrina,Pothárn Imre,0.007692307692307693,low
CRIM_Model_0049.mei,Jacob Clemens non Papa,Franz Körndle,0.014736842105263158,low
CRIM_Model_0050.mei,Roland de  Lassus,Franz Körndle,0.008842443729903537,low
