year,album,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,,duration_ms,time_signature
1969,Abbey Road,Heres comes the sun,0.557,0.54,9,-10.484,1,3.47E-02,0.0339,0.00248,0.179,0.394,129.171,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,185733,4
1969,Yellow Submarine,Hey Bulldog,0.587,0.617,7,-9.164,1,0.028,0.0197,0.639,0.199,0.947,100.495,https://open.spotify.com/track/5xYC2ZJJ9TMJL8BOl85O2R,191307,4
1963,With The Beatles,Hold Me Tight,0.54,0.744,5,-9.637,1,0.0312,0.664,0,0.21,0.963,135.731,https://open.spotify.com/track/2RvKsA6Ho7VbJkVFiD4UQF,151907,4
1964,Beatles for Sale,Honey Don't,0.629,0.545,4,-11.466,1,0.0348,0.473,0.0000508,0.0854,0.735,162.438,https://open.spotify.com/track/2d7GP7Fz1NrfPpo7MzWZgb,177427,4
1968,The Beatles (white album),Honey Pie,0.537,0.297,7,-15.452,1,0.0822,0.88,0.000015,0.145,0.553,144.197,https://open.spotify.com/track/1TPcNcmuKlq0PKpYOBgP1U,161160,4
1967,Magical Mystery Tour,I Am the Walrus,0.401,0.556,2,-10.532,1,5.13E-02,0.0828,0.000359,0.589,0.654,85.206,https://open.spotify.com/track/6Pq9MmkDQYZiiCDpxnvrf6,275867,4
1964,Beatles for Sale,I Don't Want to Spoil the Party,0.533,0.668,7,-7.237,1,3.30E-02,0.451,0,0.149,0.889,95.438,https://open.spotify.com/track/3kQDIa85ZK8cKVn72NfBnl,154467,4
1970,Let It Be,I Me Mine,0.291,0.638,9,-7.854,0,0.0554,0.179,0,0.101,0.525,185.235,https://open.spotify.com/track/2BMqay80iBzZTa608Y1eG1,145587,3
1965,Help!,I Need You,0.601,0.489,9,-8.554,1,4.55E-02,0.277,0,0.0988,0.638,136.215,https://open.spotify.com/track/5EzvwjFwdP5Kfl5AZAemzu,148787,4
1963,Please Please Me,I Saw Her Standing There,0.491,0.801,4,-9.835,1,0.0361,0.27,0,0.0665,0.971,160.109,https://open.spotify.com/track/3KiexfmhxHvG5IgAElmTkd,173947,4
1964,A Hard Day's Night,I Should Have Known Better,0.682,0.444,7,-7.689,1,0.0289,0.257,0,0.115,0.91,130.704,https://open.spotify.com/track/3pU1CUgPiFfxPCpscwIwQR,163080,4
1963,With The Beatles,I Wanna Be Your Man,0.553,0.914,9,-8.232,1,0.0415,0.477,0,0.292,0.683,99.138,https://open.spotify.com/track/0sIZcoe69iSym9AecvZ7CT,119507,4
1966,Revolver,I Want to Tell You,0.493,0.525,9,-9.289,1,0.0315,0.182,0.0000044,0.148,0.449,127.492,https://open.spotify.com/track/7orb0y6ySGdsYZywMoQtsD,147973,4
1969,Abbey Road,I Want You (She's So Heavy),0.37,0.515,2,-9.487,0,3.21E-02,0.0233,0.205,0.0966,0.42,115.732,https://open.spotify.com/track/3Z25k4ZF6QENy2d9YatsM5,467320,4
1968,The Beatles (white album),I Will,0.631,0.387,5,-11.529,1,2.62E-02,0.742,0.000406,0.0822,0.832,103.11,https://open.spotify.com/track/09x9v1o51dbqi5H0u7UGfp,105933,4
1964,A Hard Day's Night,If I Fell,0.665,0.31,2,-8.928,1,2.78E-02,0.68,0,0.0877,0.568,108.211,https://open.spotify.com/track/1hgvykolO4kBIEozATmpyj,139467,4
1965,Rubber Soul,if I needed someone,0.492,0.755,9,-9.273,1,3.31E-02,0.00748,0,0.102,0.796,127.387,https://open.spotify.com/track/7C6hdDIz90Uf5YmdZnYbJJ,142267,4
1964,A Hard Day's Night,I'll Be Back,0.721,0.527,9,-7.224,1,0.0293,0.744,0,0.186,0.641,123.902,https://open.spotify.com/track/3lSi6qfnp2YZazTzcOLBZk,144187,4
