,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
2,Marion Williams,The Gospel Soul of Marion Williams,I'll Fly Away,4iReG4ZYXQWFdzL87cuFWE,0.489,0.0444,8,-12.397,1,0.0424,0.0,0.281,0.367,108.011,169013,5,22.0,Whimsical Rover Playlist
3,Bob Dylan,Highway 61 Revisited,Like a Rolling Stone,3AhXZa8sUQht0UEdBJgpGc,0.482,0.721,0,-6.839,1,0.0321,0.0,0.189,0.557,95.263,369600,4,71.0,Whimsical Rover Playlist
4,Led Zeppelin,Led Zeppelin II (1994 Remaster),Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,0.468,0.607,9,-11.367,1,0.0336,0.000852,0.225,0.886,98.429,263333,4,71.0,Whimsical Rover Playlist
5,Jimi Hendrix,Axis: Bold As Love,Little Wing,1Eolhana7nKHYpcYpdVcT5,0.515,0.534,6,-8.045,1,0.0768,0.00278,0.0547,0.426,70.776,145747,4,72.0,Whimsical Rover Playlist
6,The Rolling Stones,Let It Bleed,You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,0.32,0.62,0,-9.686,1,0.0594,6.36e-05,0.253,0.472,86.327,448720,4,69.0,Whimsical Rover Playlist
7,Johnny Cash,At Folsom Prison,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",2fDHuS1PTkHBbCWWZF1ph9,0.621,0.524,0,-15.269,1,0.0803,0.00199,0.893,0.889,110.586,162653,4,69.0,Whimsical Rover Playlist
8,Simon & Garfunkel,Bookends,America,6dfhF1BDGmhM69fnCb6wSC,0.259,0.241,2,-15.955,1,0.042,6.62e-06,0.0849,0.275,178.453,215293,3,65.0,Whimsical Rover Playlist
9,"Peter, Paul and Mary",Album 1700,Leaving on a Jet Plane,6ZSTinOwx5dKFYc6iYyGDn,0.414,0.167,9,-16.519,1,0.0484,0.0,0.117,0.384,133.45,207240,4,64.0,Whimsical Rover Playlist
0,Led Zeppelin,Led Zeppelin II (1994 Remaster),Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,0.468,0.607,9,-11.367,1,0.0336,0.000852,0.225,0.886,98.429,263333,4,71.0,list of 40 subset
1,"Peter, Paul and Mary",Album 1700,Leaving on a Jet Plane,6ZSTinOwx5dKFYc6iYyGDn,0.414,0.167,9,-16.519,1,0.0484,0.0,0.117,0.384,133.45,207240,4,64.0,list of 40 subset
2,The Who,Who's Next (Deluxe Edition),Behind Blue Eyes,0cKk8BKEi7zXbdrYdyqBP5,0.394,0.622,4,-8.258,0,0.0336,4.45e-05,0.0892,0.342,126.844,221427,4,72.0,list of 40 subset
3,Joe Cocker,With A Little Help From My Friends,With A Little Help From My Friends,0YZ3J8xzGwLOg4yEgST1YK,0.307,0.43,2,-11.333,1,0.0629,0.000994,0.0988,0.305,145.224,312173,3,67.0,list of 40 subset
4,The Rolling Stones,Let It Bleed,You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,0.32,0.62,0,-9.686,1,0.0594,6.36e-05,0.253,0.472,86.327,448720,4,69.0,list of 40 subset
5,Jimi Hendrix,Axis: Bold As Love,Little Wing,1Eolhana7nKHYpcYpdVcT5,0.515,0.534,6,-8.045,1,0.0768,0.00278,0.0547,0.426,70.776,145747,4,72.0,list of 40 subset
6,Simon & Garfunkel,Bookends,America,6dfhF1BDGmhM69fnCb6wSC,0.259,0.241,2,-15.955,1,0.042,6.62e-06,0.0849,0.275,178.453,215293,3,65.0,list of 40 subset
7,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered 2020),Wild World,7mjSHL2Eb0kAwiKbvNNyD9,0.48,0.542,0,-8.51,1,0.0348,0.000609,0.113,0.567,152.853,200560,4,77.0,list of 40 subset
8,B.B. King,Completely Well,The Thrill Is Gone,4NQfrmGs9iQXVQI9IpRhjM,0.547,0.46,11,-8.759,0,0.0256,0.442,0.0983,0.543,90.768,324733,4,63.0,list of 40 subset
9,Jimmy Cliff,"Wonderful World, Beautiful People",Many Rivers To Cross,1dZxI6OuzwJ283y3gOU1Kq,0.399,0.212,5,-16.03,1,0.0747,0.000434,0.116,0.149,137.76,164067,4,51.0,list of 40 subset
0,Santana,Abraxas,Oye Como Va,5u6y4u5EgDv0peILf60H5t,0.736,0.379,7,-13.208,1,0.0539,0.345,0.104,0.948,128.399,256933,4,67.0,List of 40 Selection
1,Led Zeppelin,Led Zeppelin II (1994 Remaster),Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,0.468,0.607,9,-11.367,1,0.0336,0.000852,0.225,0.886,98.429,263333,4,71.0,List of 40 Selection
2,Louis Armstrong,What A Wonderful World,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,0.271,0.165,5,-20.652,1,0.0351,1.6e-06,0.118,0.203,77.082,139227,4,69.0,List of 40 Selection
3,The Rolling Stones,Let It Bleed,You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,0.32,0.62,0,-9.686,1,0.0594,6.36e-05,0.253,0.472,86.327,448720,4,69.0,List of 40 Selection
4,Howlin' Wolf,Howlin' Wolf,Spoonful,7j02rdE5RVtNcNMuLGY5SS,0.821,0.376,0,-13.622,1,0.0487,1.39e-05,0.106,0.824,119.039,170000,4,58.0,List of 40 Selection
