,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
6,Mecano,"Ana, José, Nacho",Me Colé en una Fiesta,4JOsL8WntMIwDeNQlKAwdA,0.728,0.98,9,-4.914,0,0.0505,0.00026,0.0512,0.893,144.725,256067,4,46.0,Before the Night Out
7,The Pointer Sisters,So Excited! (Expanded Edition),I'm So Excited,1ot6jEe4w4hYnsOPjd3xKQ,0.59,0.868,5,-5.832,0,0.048,0.000322,0.442,0.798,184.348,230640,4,72.0,Before the Night Out
8,Shawn Mendes,Señorita,Señorita,0TK2YIli7K1leLovkQiNik,0.759,0.54,9,-6.039,0,0.0287,0.0,0.0945,0.75,116.947,190960,4,81.0,Before the Night Out
9,Boys Town Gang,Disco Kicks (The Complete Anthology),Can't Take My Eyes Off You - Original Extended Version,7EblNAQKo2q1DCRnO2bVmD,0.651,0.754,10,-10.421,1,0.0302,0.0043,0.139,0.664,129.617,589547,4,45.0,Before the Night Out
0,Sammy Rae & The Friends,The Good Life,Kick It to Me,6QZbDUZEgkwaVWROtWzjQ0,0.597,0.675,2,-6.431,1,0.0569,1.45e-05,0.168,0.823,160.057,387600,4,60.0,M255 “Chilly Friday in Philly”
1,Lake Street Dive,Obviously,Hypotheticals,5lE2EFXt4muvLFMGQg4hZN,0.69,0.664,1,-6.488,1,0.0562,0.00762,0.0496,0.383,164.145,230178,4,61.0,M255 “Chilly Friday in Philly”
2,Stevie Wonder,Innervisions,Don't You Worry 'Bout A Thing,1QvWxgZvTU0w8rlPRE5Zrv,0.714,0.726,11,-9.218,1,0.0408,0.0,0.066,0.92,124.71,284840,4,63.0,M255 “Chilly Friday in Philly”
3,Various Artists,Surf's Up Music From The Motion Picture,Into Yesterday,02TQFXm2cV6uwOr2OmlYBC,0.666,0.788,11,-6.821,1,0.0335,0.000145,0.15,0.922,91.018,251467,4,56.0,M255 “Chilly Friday in Philly”
4,RELIC,Ghost,Ghost,6MvT7w4FeYJNfimIljosNs,0.435,0.386,3,-8.983,0,0.0313,0.000619,0.112,0.183,160.285,297000,4,26.0,M255 “Chilly Friday in Philly”
5,The Smiths,The Queen Is Dead,There Is a Light That Never Goes Out - 2011 Remaster,0WQiDwKJclirSYG9v5tayI,0.523,0.769,4,-5.855,1,0.0269,0.0,0.136,0.876,136.162,244587,4,81.0,M255 “Chilly Friday in Philly”
