ac,name
2193,"['ecology' 'acoustic ecology' 'soundwalking' 'McCartney, Andra'
 'listening' 'nature' 'United States of America' 'Kentucky'
 'Bernheim Arboretum and Research Forest' 'soundwalks' 'culture'
 'festivals' 'SONICBernheim' 'activities of Andra McCartney']"
2209,"['dance--by genre' 'site-specific dance' 'Reeve, Sandra' '<Absence>'
 'ecological movement' 'choreographers' 'aesthetics'
 'concepts of inscription and incorporation' 'ecology' 'audiences'
 'relation to site' 'creative process' 'relation to ecology']"
2212,"['United Kingdom--England' 'Devon' 'dance' 'site-specific dance'
 'outdoor environments' 'Cornwall' 'nature' 'England' 'dance--by genre'
 'dance--by place' 'Guattari, Félix' 'writings' 'ecology'
 'applied to site-specific dance']"
2265,['ecology' 'ecomusicology' 'Anthropocene']
2386,"['instruments--string (guitar family)' 'guitar playing' 'popular music'
 'ecological crisis' 'trees' 'popular music--general' 'instruments'
 'ecology' 'Anthropocene' 'phenomenology' 'embodiment' 'nature']"
2784,"['Indigenous peoples--Americas' 'Canada' 'musical life'
 'relation to ecological knowledge' 'Indigenous peoples' 'song texts'
 'ecology' 'ecological knowledge' 'role of songs']"
2835,"['pedagogy--by place' 'China' 'music education'
 'relation to ecological worldview' 'pedagogy--general' 'philosophy'
 'philosophy of music education' 'ecology' 'ecological thinking'
 'applied to music education']"
2880,"['improvisation' 'musical improvisation' 'relation to ecoacoustics'
 'environmentally-based sound practices' 'influenced by COVID-19 pandemic'
 'ecology' 'ecoacoustics' 'relation to musical improvisation'
 'wars and catastrophes' 'pandemics' 'COVID-19 pandemic'
 'influence on musical improvisation']"
2916,"['electronic music' 'aesthetics' 'air as subject'
 'electronic music and computer music' 'nature' 'air (nature)'
 'relation to electronic music and computer music' 'Heidegger, Martin'
 'writings' 'concept of dwelling'
 'applied to electronic music and computer music' 'philosophy' 'ecology'
 'environmentalism' 'sonority' 'bell ringing']"
2965,"['ethics and morals' 'soundscape composition' 'composition' 'ethics'
 'sonority' 'hi-fidelity vs. lo-fidelity' 'ecology' 'ecosystems'
 'concept of ecotone' 'relation to soundscape composition' 'aesthetics'
 'authenticity']"
2987,"['China' 'Guangxi' 'Napo Zhuang people' 'traditional music'
 'traditional songs' 'cultural ecology' 'song--popular and traditional'
 'ecology' 'cultural studies']"
3001,"['ecology' 'ecomusicology' 'conferences' '2018'
 'congresses, conferences, symposia' 'United States of America'
 'New Mexico' 'Albuquerque']"
3005,"['nature' 'landscape' 'Colombia' 'Pamplonita River region' 'soundscape'
 'soundscape ecology' 'ecology']"
3114,['ecology' 'acoustic ecology' 'noise']
3281,"['electronic music' 'globalization' 'early 21st c.' 'composition'
 'soundscape composition' 'digital techniques' 'academic institutions'
 'Canada' 'British Columbia' 'Burnaby' 'Simon Fraser University'
 'World Soundscape Project' 'soundscape' 'soundscape studies'
 'relation to soundscape composition' 'listening' 'soundscapes'
 'applied to electronic music' 'ecology' 'acoustic communication'
 'video game music' 'mass media' 'digital media' 'analysis'
 'soundscape analysis']"
3356,"['pedagogy--by place' 'China' 'teacher training' 'interdisciplinarity'
 'cultural ecology' 'ecology' 'applied to pedagogy']"
